title,description,reviews,ratings
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.","Outdoor very noisy, indoor generate vibration noise on medium and high speed. service is very bad, flipkart is very unhelpful.READ MORE",1
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.",No doubt it's a good product. I always have faith in the brand carrier as it the most valuable and trustworthy brand in terms of air conditioner.Talking about pros:-1. Instant cooling.2. No Noise.3. AI temperature control.4. Auto modes to control temperature at different modes.5. Turbo cool.Cons:- Power consumption is more as compared to the level mentioned in the box.Apart from that everything goes well with this AC.READ MORE,5
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.",Simple and smart look.READ MORE,4
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.",Not facing any issue after using from last 1 month.READ MORE,5
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.","Gas completely leaked out after one day of usage, this totally unacceptable from a reputed brand like yours. Thumbs down to Carrier.READ MORE",1
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.","Nice AC, Cooling also very good.READ MORE",4
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.","1st day water leakage problem after 3 months not solved this problem ,READ MORE",1
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.",Please don't but LG is far better than this so much noise also cooling is not as good as my LG onse and very worst thing is remote when you go closer then it will work if you try to use from your bed some time it work some time not. Also no any demo call from Carrie. Very worst product I will never buy again in my life and also suggest to my every friend and relatives don't buy this. Convertible button just for making fool.READ MORE,1
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.",INSTALLATION PROCESS IS NOT GOOD AND AFTER INSTALLATION SOME SOUND FROM INDOOR UNIT IT'S VERY UNEXPECTED FOR ME PLZ SEE THIS KIND OF ISSUE.READ MORE,4
"CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White  (CAI09ER3R33F0, Copper Condenser)","The Carrier 0.8-Ton AC provides you with a pleasant breeze on a hot day and has a multitude of additional functions to keep you comfortable and fresh all summer. The innovative external components of this air conditioner are designed to create a comfortable cooling atmosphere even when the outside temperature hits 52° C. Also, you can quickly cool off and get comfortable during the intense heat with the aid of Turbo Cool Mode. By eliminating airborne microparticle pollutants, the Cold Catalyst Filter also maintains the cleanliness and wellness of the air in your home. Also, the superior-quality copper tubes utilised by this Carrier AC allow for quick heat transmission, provide long-term endurance, and can thus withstand big loads.",Ac 1 hrs use after  front side water dropping start so not good for thisMy ac instolad in 17 saptembar 2nd start this problem.So i m not happy....READ MORE,3
