title,description,reviews,ratings
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Review after 1 month.Best in performance!Pros-Low NoiseExcellent cooling Working fine even if there is voltage fluctuation (stabiliser needed for safety)Working smoothly even on 180+ Volts Ergonomics of remote is elegant Indoor temperature indicator Functionalities on remote like Sleep Mode, Timer, LAMP, Mode, Fan speed, TURBO and Saver. Features:Vertical swing cover entire roomTemperature button helps to know actual temp of room Timer helps in automatically switch off the AC.C...READ MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Voltas - Damn good AC for the 10x10 room , it gets cold in the night so we have to switch it off , trick is to place it above the bed so in peak summer it blows  cool air directly where u sit , otherwise u will have to wait for room to get cold . R32 inverter / silent and good design , easy to install and no hassle long cables with padding which shows quality , all my other ac had cheap padding on external cables , outside is quiet and inside sound  is less than normal fan , modes are same , ...READ MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"I bought this one 15 days ago for 32850 rs with VG 400 stabilizer after analysing all offers .many reviews here are having suspicion about the quality of the product , installation charges and delay . but the delivered product seems to be genuine with good packing after getting the stabilizer i informed local voltas people they installed it next day itself .they ask me 1700 rs as charges but after knowing the FILIPKART agreement they charged only 1200 rs only , they are very co-operative and ...READ MORE",4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"I could say that voltas provides you best AC at this price segment ,below 30k 1. Cooling ...100%satisfaction even if you compare with any high variant ACs it cools my 150 sqr feet room in 5..to 6 minutes.2. Look and design....it doesn't look quite premium VOLTAS should work on it...nd make it decent looking body.3. Energy consumption .... See all these 3......star ....4 star.......... .5 star doesn't effect you much if your daily usage is 5...to 7 hrs a day.....stars only shows difference ...READ MORE",4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Biggest Fraud I have ever encountered by Flipkart and Voltas . This rectangular shaped thing hanging on my wall is not an Ac just a fan delivered by these fraud companies. There is no cooling at all and the worst part is that I cannot return it now. I ordered it 12 days back and it rained in Delhi leading to drop in temperature. Now, after 12 days, I start the Ac and there is absolutely no cooling and flipkart customer care has the audacity to tell me that the return day period of my brand ne...READ MORE",1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"This AC full operate with Remote only but my AC's Remote not working since beginning. After installation in April 2022 we didn't use upto July 2022 being not so hot those days.But when we start using from July 2022, it comes.to our knowledge that some time Remote works sometimes not. I change new Battery also but not positive result found. Now totally stop functioning for which me and my family unable to use AC in these pick hot season.Very much disappointed with VOLTAS, I never suggest any o...READ MORE",1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Pros:1. Cooling is very good and fast.2. Air throw is excellent, mind-blowing. You can feel the throw even at 15-18 foot away.3. Value for money.Cons:1. Horizontal swing is not good. Almost non existent.2. Remote is no-nonsense. Good. But old fashioned. No backlight on remote screen. And this is very bothering specially after you switch off lights and go for sleep.3. Would have been better if it had convertible feature.You can definitely go for it.READ MORE",4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Voltage is always my first priority in AC but this model doesn't meet my expectations:1. When i switched off the AC from main power button it's Swing doesn't closes ( It only closed when you switch off from remote) because of which entering of dust cannot be prevented2. Timer off works only in a Interval of 1 hrs (It should be 30 min Interval)3. If you press LAMP button to switch off all the display lights however MODE display icon light is always switched on and only Temp reading light...READ MORE,3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"In this price, this AC is really cool.I really used it around 2 months. Honest reviewPros :1  I bought it in 27000 only while on sale and some credit card offers.2. If it is 31000 rs too, it is value for money.3. Cooling is really good.4. Compressor is well and copper wired.5. Energy efficient. Use of 8 hours a day gives only a couple of hurdreds more.6. Its bacteria filter is workingCons1. There is no horizontal swing2. There is  no fragrances.3. The install team charged abou...READ MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Nice product in reasonable price. Voltas was my 1st preference as it is the only indigenous product & number one Brand of India. All other features are good except the front design of inner unit. Brown outer lining on the flap is not good nor desirable. Had it been sleek white, the looks would have been better. The curvy look also not good. Cooling is nice but chilling effect is not there as in normal Airconditioner. Inverter AC consumes less power and soothing. Otherwise its value for money....READ MORE",4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"It has totally value for money. . .you can buy this  product without hesitation. .very fast cooling and also fast responses , remote button is visible in night even with out light cuz it has radioactive element.Nice product.I am happy .READ MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"As per the expectation !! Amazing cooling capacity, considerable less energy comsumption. Only thing I dont like is its manual horizontal swing.My recommendations - Go for it without a single thought !!READ MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Very bad installation experience by voltas. How ever the installation guy came within 1 hr of delivery. Installation person was in so mich hurry, not willing to listen to any reasonable instruction. Did the installation in an hour. Paid 1180 for installation and 750 for wall stand. Not paid anything extra not even demanded.Very nice product from Voltas, no noise at all. Instant cooling. Good looking,sleek. Overall a good productREAD MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very nice work for support man is installed very goodREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Wonderful AC & nice cooling with silent operation, after all it is a Tata Product, lovely experience,READ MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Expert given date dilverd packing also good delivery boy also good and installation also done  installation parsan also good working iam happy the nk u flipkart Installation parsan good and installation also superbREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Good to go..Liked product and it's working well.Cooling is good.Buy local product more and support vocal for local more.Good job TATA. we are proud of you 😊READ MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,It's was a awesome purchase.I must say this cool the room immediately and just go for it. Don't think much it's awesome product.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Hi Team, FYI installation not properly done. The person hole in the wall but didn't close the hole. And it was unsatisfied. We are doing some extra work. Still now no issues and in future, we don't know what happens. So please instruct and advance to all installation or serviceman do properly and work completely.  Thank you.READ MORE",3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Colling is good and design also cool but insatallation took extra money because of extra wire, stand and plug that all took around 1300/- otherwise everything is fine installation guy was good and humble.READ MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Verry good ac and faster delivery installation process is very fast good service provide by voltas and flipkartREAD MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Really not happy Cooling is worst. it take 1 hr to coolRemote is also not working properly.Before purchasing I was happy to see such positive comments but after purchasing I feel like online products are worst toh have😭READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,The product is amazing and a full value for money. Features is top class. Cooling is top notch.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very nice product but remote could be more improved Thank youREAD MORE,5
