title,description,reviews,ratings
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ",My one request🙏 plz to all buyers..plz dont review any product specially this.. on that day when it delivered to your homeplzz review after 10-15 days..I'm sure your 3-4 star will convert into 5 star..bcoz in first day it will look bulky nd big but after using some days it will look light weight nd normal size nd also its sound quality will seem more awsm..!!I m in love with my rockerz 510.. i'm writing this after 15 days usage nd now my ears are not paining even 2-3 hours continue usage.....READ MORE,5
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ",genuine review1. sound quality : no issue value for money2. build quality : plastic best 3. look:  very cool 4. pain: used 6to7 hr per day no pain (online classes)5. call: very comfortable like u r with phone6.connectivity: faadu hai.. excellent7.overall: blindly go for itREAD MORE,5
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ",Nice product. Happy with the bass quality. One information I would like to share that the logo has been changed so don't need to worry.I hope this review will help you.READ MORE,5
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ","Pros:1. Connectivity with bleutooth and aux.2. Noise Cancellation.3. Cushioning is great.4. Bass is best in class. No other headphone can beat it's bass. I also use Sony headphones of same price point but these headphones have better durability.5. Seller and Flipkart did there work effectively with early delivery than the promised date.6. Amazing battery life.7. Overall sound quality is good with responsive low,mid and high.8. Can play different Geners effectively.Cons:1. Not Comfor...READ MORE",5
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ","super sound quality, and battery backup is awesome built quality also  excellent aux cable also provided so it works with out battery.READ MORE",5
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ",Sound of awesome 👌👌👌👌👌Base is good  👍👍👍👍👍 build design good  💪💪💪💪💪Battery life super  🤙🤙🤙🤙🤙Call quality excellent  🤞🤞🤞🤞🤞worth of money  👏👏👏👏👏READ MORE,4
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ","Trimendus bass with 50mm driver... awesome trendy design, good bluetooth coverage, nice battery backup... I love it...READ MORE",5
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ","Good for :- PUBG HEADPHONE ( BUY IT if gamer HD footsteps ), i cant say lag in wirless play..its okay i never felt lag. Aux can be used if as well.- comforts . No ear pain for hours- Music- movies- Long battery backup lasts a week and more.Not that good:- Overpriced- BoAt could have improved the sound @this price- Portabily , can't fold or carry it safely. Not Recommended for those who like to travel and carry it with. Overall:Me :-Bought for Pubg gaming,watch movies,long lastin...READ MORE",4
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ",Super bass sound quality very nice very high sound good product battery backup UPTU 12 hours playback non stop value for money nice productREAD MORE,5
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Raging Red, On the Ear)","If you are looking for an efficient wireless headset, then this boAt headset is ideal for you. Its 50 mm drivers bring your audio files to life so that your aural experience is immersive. Moreover, you can enjoy up to 10 hours of playback time with a fully charged battery. Furthermore, it can be connected to your media devices with the help of an AUX cable as well. ","sound quality and bass is good in this price rangeIf you are normal user (daily listen 4-5hour)you got 10days battery backup, last time I charge this headphone 28 march and today is 5th april and now my battery percent is 30% , I mention screenshot in image overall battery backup is excellent buit quality  is good and design is fabulous it look like very expensive but button quality is not soo good when you press botton it feel cheap qualityheadphone is comfortable to wear about 2-3 hourp...READ MORE",4
