reviews,ratings
This phone is so good and this camera is very   clear and good capture wowREAD MORE,5
"Am pretty much upset that am not able get my favorite color 🔴 .  😊😊After one week usage, here's my reviews. pros:1.Nice display ad notch screen ads advantage to display.  It looks pretty cool. 2. software wise same performance looks like note 5.3. UI comes with older version need to update to latest one. updated one looks more effective then previous one. 4.Both cameras 📷 are good. cons: 1. while playing online video scene will not cover full screen.  need to zoom in,  but some pa...READ MORE",4
Have been using the phone since the past week and am really happy with my purchase. Pros-1.Both the front and rear cameras are wonderful. 2. Sound quality is quite good. 3. Display quality very good. 4. Battery performance pretty good with 4000mah.5. Looks very sleek and is also very light. 6. Split screen feature good for using more than one app at a time. Cons-1. The box doesn't contain earphone. 2. The sim tray will either support one sim and a sd card or two sims. And if you wan...READ MORE,5
Ordered this mobile as I wanted to upgrade to a dual camera mobile.Thanks to flipkart I received the product just on the next day of ordering. Performing perfectly and as per the expectations as of now with following observations. Pros:1. Superb rear cam2. Good battery life3. big screen and fine resolution4. Sound quality is very fine in external as well as multiple options while using headphones5. Sufficient storage & memory spaceCons:1. I wanted to order 6GB RAM with blue or red c...READ MORE,5
redmi note 6 pro my first mi mobile aftr my sony xperia.. The camera just awesome.. Good display.. Good look.. I really loved it..READ MORE,5
My first Redmi Phone after moto X Play.Delieverd in just 6 hrs.Camera Quality is super. In low light also the snaps come fantastic. Will update more after usage.1) Premium touch. Ergonomic design2) Run smooth after Miui 10 update3) Battery Backup is wonderful4) Call quality is also nice5) Display is cristal clear6) Camera is decent in this segment. All 4 camera (2Front & 2       Rear) works fantastic.7) So many  productive ap installed by default. No need to use          3rd party ap...READ MORE,5
"thanks flipkart for early delivery.phone is so good and performance is good so far.got the product in the morning 11am and after quiet heavy internet usage battery is going good, display quality is good, camera quality is good.value for money.. go for it without any hesitation..READ MORE",5
"Its an honest review...comparing t note 5 pro.. Note 6 pro is a best notch display,front and rear Dual camera, clarity n features f camera is nice,value fr d money. From d box it will come 9.6.4..after 2mins f usage we get MIUI 10 updates.I bought on 23rd November on a Black friday sale,Delivery has improved by flipkart i gt my phone with in 14hrs.Over all 4.6 fr d mobile😳READ MORE",5
"Display & Design:===============It comes with an IPS LCD display having a 6.26-inch display bearing a FHD+ resolution. It has a screen resolution of 1080 x 2280 pixels, along with a pixel density of 403 PPI, which offers a clear and sharp viewing experience. On the front, there is a notch on the top, and the rear side houses a vertical dual camera setup and a fingerprint sensor. It is coated with a Corning Gorilla Glass for durability. Configuration:============It is powered by an oc...READ MORE",5
"Pros:+ Front and Rear Camera Quality is Excellent. you won't find better camera like this even at 18k. No Honor, RealMe phones beat this Camera Quality+ large Display..very bright and sharp.+ Protrait Mode on Both cameras is Awesome.+ Battery Performance is Excellent 5 Star rating.No heat.it charge 4000mAh battery in 90mins with bundled 5V/2A charger.Supports QC 3.0+ Smooth performance from SD636 coupled with 4GB RAM. Xiaomi explained why they had choosen SD636 Again in RN 6Pro+ Finger ...READ MORE",5
"this phone is very good. and perfect for use. camera is obviously good and also good for pro mode. battery service is best and it takes charge also quickly. this phone is good for play games like pubg , free fire etc. It has two sim slot but one slot is ok but second slot is for sim and also memory card. you can use one of themoverall it is best product in such price. I am satisfied with this☺☺☺READ MORE",5
