reviews,ratings
First of all thanks to Flipkart for FAST AND TIMELY delivery. Amazing product in best price.READ MORE,5
"This AC full operate with Remote only but my AC's Remote not working since beginning. After installation in April 2022 we didn't use upto July 2022 being not so hot those days.But when we start using from July 2022, it comes.to our knowledge that some time Remote works sometimes not. I change new Battery also but not positive result found. Now totally stop functioning for which me and my family unable to use AC in these pick hot season.Very much disappointed with VOLTAS, I never suggest any o...READ MORE",1
"Trust me !! It’s been couple of months since I was trying to buy something in this particular budget and after lots of research I found this one and it’s amazing, cooling,looks,specially remote which is new and you can operate from anywhere, In the sense you No need to stand in front of the AC the sensor works really good, apart from this, installation people were really good and they were very well trained and professional as well, totally satisfied with this product, God for it 💕👍🏻READ MORE",5
"Really, it is awesome! You must buy it. It is better than my expectation. It is better from all ways like it is an inverter air conditioner, it has a 5-star rating by BEE, the used gas is 'R32' which is the best air conditioner gas. Also, it is a 1.6-ton air conditioner which is the best comfortable tonnage rating for my room.READ MORE",5
"Voltas ac is the best for me. The quality of TATA and trust factor means a lot. They have the good features and design with energy efficiency for all groups. I will suggest any can buy this with the good faith. The given cupper pipe and wires are 10ft only, Voltas must give 15ft at least. Overall a better experience 🙏READ MORE",5
Best AC till now Volta’s is the best . Don’t go for expensive Ac like Daikin or Blue Star or General I have used all companies and till now Volta’s has given the best Product. Flipkart also provided genuine product and one day delivery and second day installation. Impressed and Satisfied. 👍👍😀😃READ MORE,5
"Very prompt delivery.. Very good looks and feels premium, great build quality. Installation was very smooth and technician was very expert and did a great jobCooling is very fast.. Even in 24degreeSatisfied with everything till now.READ MORE",5
Thankyou Flipkart. Received 100%damage free product. We went to a showroom to buy voltas ac. But the sales person washed our mind and suggest to buy another brand. We are using voltas from past 8 years. So that we trusted the brand. RECEIVED EXACT PRODUCT OF RECENT MANUFACTURING... QUICK INSTALLATION ARRANGED BY FLIPKART.price also very fair. We can change the tonnage in this model. Thank you voltas. My suggestion is Flipkart is best Desi app. Just go for this model.READ MORE,5
"I bought this one 15 days ago for 32850 rs with VG 400 stabilizer after analysing all offers .many reviews here are having suspicion about the quality of the product , installation charges and delay . but the delivered product seems to be genuine with good packing after getting the stabilizer i informed local voltas people they installed it next day itself .they ask me 1700 rs as charges but after knowing the FILIPKART agreement they charged only 1200 rs only , they are very co-operative and ...READ MORE",4
I really like this product its cooling is awesome and its design is also good and its a great value of money you should definitely buy this product without any delay.READ MORE,5
"It has totally value for money. . .you can buy this  product without hesitation. .very fast cooling and also fast responses , remote button is visible in night even with out light cuz it has radioactive element.Nice product.I am happy .READ MORE",5
"As per the expectation !! Amazing cooling capacity, considerable less energy comsumption. Only thing I dont like is its manual horizontal swing.My recommendations - Go for it without a single thought !!READ MORE",5
"I could say that voltas provides you best AC at this price segment ,below 30k 1. Cooling ...100%satisfaction even if you compare with any high variant ACs it cools my 150 sqr feet room in 5..to 6 minutes.2. Look and design....it doesn't look quite premium VOLTAS should work on it...nd make it decent looking body.3. Energy consumption .... See all these 3......star ....4 star.......... .5 star doesn't effect you much if your daily usage is 5...to 7 hrs a day.....stars only shows difference ...READ MORE",4
"Very bad installation experience by voltas. How ever the installation guy came within 1 hr of delivery. Installation person was in so mich hurry, not willing to listen to any reasonable instruction. Did the installation in an hour. Paid 1180 for installation and 750 for wall stand. Not paid anything extra not even demanded.Very nice product from Voltas, no noise at all. Instant cooling. Good looking,sleek. Overall a good productREAD MORE",5
"Review after 1 month.Best in performance!Pros-Low NoiseExcellent cooling Working fine even if there is voltage fluctuation (stabiliser needed for safety)Working smoothly even on 180+ Volts Ergonomics of remote is elegant Indoor temperature indicator Functionalities on remote like Sleep Mode, Timer, LAMP, Mode, Fan speed, TURBO and Saver. Features:Vertical swing cover entire roomTemperature button helps to know actual temp of room Timer helps in automatically switch off the AC.C...READ MORE",5
Very nice work for support man is installed very goodREAD MORE,5
"Wonderful AC & nice cooling with silent operation, after all it is a Tata Product, lovely experience,READ MORE",5
Expert given date dilverd packing also good delivery boy also good and installation also done  installation parsan also good working iam happy the nk u flipkart Installation parsan good and installation also superbREAD MORE,5
Good to go..Liked product and it's working well.Cooling is good.Buy local product more and support vocal for local more.Good job TATA. we are proud of you 😊READ MORE,4
It's was a awesome purchase.I must say this cool the room immediately and just go for it. Don't think much it's awesome product.READ MORE,5
"Hi Team, FYI installation not properly done. The person hole in the wall but didn't close the hole. And it was unsatisfied. We are doing some extra work. Still now no issues and in future, we don't know what happens. So please instruct and advance to all installation or serviceman do properly and work completely.  Thank you.READ MORE",3
"Colling is good and design also cool but insatallation took extra money because of extra wire, stand and plug that all took around 1300/- otherwise everything is fine installation guy was good and humble.READ MORE",5
Verry good ac and faster delivery installation process is very fast good service provide by voltas and flipkartREAD MORE,4
Really not happy Cooling is worst. it take 1 hr to coolRemote is also not working properly.Before purchasing I was happy to see such positive comments but after purchasing I feel like online products are worst toh have😭READ MORE,1
